num	year	month	total_appeals	appeals_to_mayor	res_positive	res_explained	res_negative	El_form_to_mayor	Pap_form_to_mayor	to_10K_total_VAO	to_10K_mayor_VAO	to_10K_total_ZAO	to_10K_mayor_ZAO	to_10K_total_ZelAO	to_10K_mayor_ZelAO	to_10K_total_SAO	to_10K_mayor_SAO	to_10K_total_SVAO	to_10K_mayor_SVAO	to_10K_total_SZAO	to_10K_mayor_SZAO	to_10K_total_TiNAO	to_10K_mayor_TiNAO	to_10K_total_CAO	to_10K_mayor_Ð¡AO	to_10K_total_YUAO	to_10K_mayor_YUAO	to_10K_total_YUVAO	to_10K_mayor_YUVAO	to_10K_total_YUZAO	to_10K_mayor_YUZAO
1	2016	January	79217	22110	26950	42764	6405	19418	2692	44	14	38	13	41	12	55	16	48	16	41	11	56	22	73	28	35	11	39	12	44	14
2	2016	February	102704	26736	30071	59325	8239	22846	3890	54	15	52	17	39	9	66	19	58	18	56	12	67	24	94	30	46	13	55	16	59	18
3	2016	March	112527	26972	30820	67568	8435	22250	4722	62	16	55	16	48	10	72	18	58	15	66	13	72	27	103	33	51	13	58	15	63	18
4	2016	April	121050	30179	31289	75471	8359	26086	4093	67	17	60	17	49	11	80	22	60	16	69	16	79	35	106	34	54	15	63	17	68	17
5	2016	May	119504	40300	26433	80753	6969	22677	17623	65	24	57	22	40	8	78	29	67	22	69	22	71	29	122	54	52	18	60	20	70	25
6	2016	June	112513	29752	27410	71508	6435	19125	10627	62	17	52	15	38	6	67	18	66	17	107	52	67	23	100	34	46	12	56	14	58	15
7	2016	July	99982	23071	25944	62916	5444	19002	4069	58	16	48	13	43	7	62	14	61	15	61	15	68	28	97	30	45	11	54	13	57	12
8	2016	August	114670	25180	30761	70034	6098	19967	5213	65	15	51	13	54	10	76	24	74	16	67	15	80	28	105	29	54	12	63	13	65	12
9	2016	September	118274	28483	31365	74577	6019	22237	6246	67	16	54	14	64	9	82	28	79	22	69	13	72	31	114	33	51	12	70	18	67	15
10	2016	October	113529	25285	28722	71036	6460	21625	3660	64	14	54	11	62	8	65	14	72	18	66	12	70	25	109	29	51	11	63	14	67	13
11	2016	November	115505	24609	19225	43490	5303	18894	5727	61	10	49	8	61	5	63	9	60	13	83	24	83	20	103	23	54	7	54	9	63	9
12	2016	December	121014	26161	30224	74575	8666	22097	4064	69	17	54	14	52	8	78	18	66	14	78	16	85	29	129	35	68	13	58	14	71	16
13	2017	January	91687	19192	25206	56111	6649	16447	2745	56	13	42	10	61	7	60	16	50	10	57	11	58	18	86	22	43	9	52	12	59	12
14	2017	February	101381	21666	24933	63953	8113	18284	3382	63	15	49	12	56	10	64	16	63	12	67	12	67	22	97	28	50	12	55	14	58	18
15	2017	March	135820	29142	33418	85030	9924	24259	4883	80	18	67	16	51	8	82	19	80	18	83	15	90	35	150	32	69	17	75	18	82	19
16	2017	April	124645	28222	29975	81685	7797	22879	5343	74	18	63	16	47	8	77	18	73	14	76	15	78	27	128	34	61	16	71	18	76	16
17	2017	May	132311	33344	30373	88947	7589	27621	5723	84	23	67	18	45	6	84	23	76	17	85	18	80	28	141	44	62	15	79	24	75	17
18	2017	June	123521	27173	29427	81738	7049	22410	4763	78	18	62	15	58	10	79	18	70	15	77	16	75	26	134	37	56	13	66	78	78	18
19	2017	July	117468	25336	29803	76352	6256	21174	4162	72	15	60	13	52	9	75	16	79	20	73	13	101	51	127	32	55	12	60	14	70	14
20	2017	August	123718	25633	31333	79803	7191	20977	4655	80	18	62	14	58	9	83	16	78	17	73	13	101	51	127	32	55	12	60	14	70	14
